Class,FPR,TPR,AUC
Macro,0.04411764705882353,0.8086477174849268,0.9678140417449462
Macro,0.04430379746835443,0.8286477174849268,0.9678140417449462
Macro,0.04918032786885246,0.8325236864771749,0.9678140417449462
Macro,0.051470588235294115,0.8371533161068045,0.9678140417449462
Macro,0.058823529411764705,0.8464125753660637,0.9678140417449462
Macro,0.06329113924050633,0.8597459086993972,0.9678140417449462
Macro,0.0661764705882353,0.8643755383290267,0.9678140417449462
Macro,0.07352941176470588,0.8690051679586563,0.9678140417449462
Macro,0.07377049180327869,0.8728811369509044,0.9678140417449462
Macro,0.08823529411764706,0.8775107665805341,0.9678140417449462
Macro,0.09558823529411764,0.8913996554694229,0.9678140417449462
Macro,0.10294117647058823,0.8960292850990527,0.9678140417449462
Macro,0.10655737704918032,0.8999052540913007,0.9678140417449462
Macro,0.11029411764705882,0.9137941429801896,0.9678140417449462
Macro,0.12025316455696203,0.9204608096468561,0.9678140417449462
Macro,0.125,0.9250904392764857,0.9678140417449462
Macro,0.13114754098360656,0.9289664082687338,0.9678140417449462
Macro,0.13924050632911392,0.9356330749354004,0.9678140417449462
Macro,0.1557377049180328,0.9395090439276484,0.9678140417449462
Macro,0.16393442622950818,0.9433850129198965,0.9678140417449462
Macro,0.20491803278688525,0.9472609819121446,0.9678140417449462
Macro,0.20588235294117646,0.9518906115417742,0.9678140417449462
Macro,0.2088607594936709,0.958557278208441,0.9678140417449462
Macro,0.21311475409836064,0.9624332472006891,0.9678140417449462
Macro,0.22794117647058823,0.9670628768303186,0.9678140417449462
Macro,0.23529411764705882,0.9716925064599483,0.9678140417449462
Macro,0.2459016393442623,0.9794444444444445,0.9678140417449462
Macro,0.3014705882352941,0.9840740740740741,0.9678140417449462
Macro,0.33088235294117646,0.9887037037037038,0.9678140417449462
Macro,0.37341772151898733,0.9953703703703703,0.9678140417449462
Macro,0.5367647058823529,1.0,0.9678140417449462
Macro,1.0,1.0,0.9678140417449462
