Class,Recall,Precision,AP
UA,1.0,0.3125,0.9742124071647008
UA,1.0,0.31446540880503143,0.9742124071647008
UA,1.0,0.31645569620253167,0.9742124071647008
UA,1.0,0.3184713375796178,0.9742124071647008
UA,1.0,0.32051282051282054,0.9742124071647008
UA,1.0,0.3225806451612903,0.9742124071647008
UA,1.0,0.3246753246753247,0.9742124071647008
UA,1.0,0.32679738562091504,0.9742124071647008
UA,1.0,0.32894736842105265,0.9742124071647008
UA,1.0,0.33112582781456956,0.9742124071647008
UA,1.0,0.3333333333333333,0.9742124071647008
UA,1.0,0.33557046979865773,0.9742124071647008
UA,1.0,0.33783783783783783,0.9742124071647008
UA,1.0,0.3401360544217687,0.9742124071647008
UA,1.0,0.3424657534246575,0.9742124071647008
UA,1.0,0.3448275862068966,0.9742124071647008
UA,1.0,0.3472222222222222,0.9742124071647008
UA,1.0,0.34965034965034963,0.9742124071647008
UA,1.0,0.352112676056338,0.9742124071647008
UA,1.0,0.3546099290780142,0.9742124071647008
UA,1.0,0.35714285714285715,0.9742124071647008
UA,1.0,0.3597122302158273,0.9742124071647008
UA,1.0,0.36231884057971014,0.9742124071647008
UA,1.0,0.36496350364963503,0.9742124071647008
UA,1.0,0.36764705882352944,0.9742124071647008
UA,1.0,0.37037037037037035,0.9742124071647008
UA,1.0,0.373134328358209,0.9742124071647008
UA,1.0,0.37593984962406013,0.9742124071647008
UA,1.0,0.3787878787878788,0.9742124071647008
UA,1.0,0.3816793893129771,0.9742124071647008
UA,1.0,0.38461538461538464,0.9742124071647008
UA,1.0,0.3875968992248062,0.9742124071647008
UA,1.0,0.390625,0.9742124071647008
UA,1.0,0.3937007874015748,0.9742124071647008
UA,1.0,0.3968253968253968,0.9742124071647008
UA,1.0,0.4,0.9742124071647008
UA,1.0,0.4032258064516129,0.9742124071647008
UA,1.0,0.4065040650406504,0.9742124071647008
UA,1.0,0.4098360655737705,0.9742124071647008
UA,1.0,0.4132231404958678,0.9742124071647008
UA,1.0,0.4166666666666667,0.9742124071647008
UA,1.0,0.42016806722689076,0.9742124071647008
UA,1.0,0.423728813559322,0.9742124071647008
UA,1.0,0.42735042735042733,0.9742124071647008
UA,1.0,0.43103448275862066,0.9742124071647008
UA,1.0,0.43478260869565216,0.9742124071647008
UA,1.0,0.43859649122807015,0.9742124071647008
UA,1.0,0.4424778761061947,0.9742124071647008
UA,1.0,0.44642857142857145,0.9742124071647008
UA,1.0,0.45045045045045046,0.9742124071647008
UA,1.0,0.45454545454545453,0.9742124071647008
UA,1.0,0.45871559633027525,0.9742124071647008
UA,0.98,0.4537037037037037,0.9742124071647008
UA,0.98,0.45794392523364486,0.9742124071647008
UA,0.98,0.46226415094339623,0.9742124071647008
UA,0.98,0.4666666666666667,0.9742124071647008
UA,0.98,0.47115384615384615,0.9742124071647008
UA,0.98,0.47572815533980584,0.9742124071647008
UA,0.98,0.4803921568627451,0.9742124071647008
UA,0.98,0.48514851485148514,0.9742124071647008
UA,0.98,0.49,0.9742124071647008
UA,0.96,0.48484848484848486,0.9742124071647008
UA,0.96,0.4897959183673469,0.9742124071647008
UA,0.96,0.4948453608247423,0.9742124071647008
UA,0.96,0.5,0.9742124071647008
UA,0.96,0.5052631578947369,0.9742124071647008
UA,0.96,0.5106382978723404,0.9742124071647008
UA,0.96,0.5161290322580645,0.9742124071647008
UA,0.96,0.5217391304347826,0.9742124071647008
UA,0.96,0.5274725274725275,0.9742124071647008
UA,0.96,0.5333333333333333,0.9742124071647008
UA,0.96,0.5393258426966292,0.9742124071647008
UA,0.96,0.5454545454545454,0.9742124071647008
