Class,Threshold,High_Risk_Count,True_Positive_Count
NUA,0.14141414141414144,155.0,86.0
NUA,0.15151515151515152,152.0,86.0
NUA,0.16161616161616163,151.0,86.0
NUA,0.17171717171717174,150.0,86.0
NUA,0.18181818181818182,148.0,86.0
NUA,0.19191919191919193,145.0,86.0
NUA,0.20202020202020204,144.0,86.0
NUA,0.21212121212121213,142.0,86.0
NUA,0.22222222222222224,140.0,86.0
NUA,0.23232323232323235,139.0,86.0
NUA,0.24242424242424243,138.0,86.0
NUA,0.25252525252525254,136.0,86.0
NUA,0.26262626262626265,134.0,86.0
NUA,0.27272727272727276,130.0,86.0
NUA,0.2828282828282829,129.0,86.0
NUA,0.29292929292929293,124.0,86.0
NUA,0.30303030303030304,120.0,86.0
NUA,0.31313131313131315,120.0,86.0
NUA,0.32323232323232326,119.0,86.0
NUA,0.33333333333333337,117.0,86.0
NUA,0.3434343434343435,112.0,86.0
NUA,0.3535353535353536,108.0,86.0
NUA,0.36363636363636365,104.0,85.0
NUA,0.37373737373737376,103.0,85.0
NUA,0.38383838383838387,93.0,82.0
NUA,0.393939393939394,92.0,82.0
NUA,0.4040404040404041,87.0,80.0
NUA,0.4141414141414142,82.0,77.0
NUA,0.42424242424242425,78.0,76.0
NUA,0.43434343434343436,76.0,74.0
NUA,0.4444444444444445,75.0,73.0
NUA,0.4545454545454546,74.0,72.0
NUA,0.4646464646464647,69.0,68.0
NUA,0.4747474747474748,62.0,61.0
NUA,0.48484848484848486,59.0,58.0
NUA,0.494949494949495,58.0,58.0
NUA,0.5050505050505051,56.0,56.0
NUA,0.5151515151515152,56.0,56.0
NUA,0.5252525252525253,53.0,53.0
NUA,0.5353535353535354,53.0,53.0
NUA,0.5454545454545455,51.0,51.0
NUA,0.5555555555555556,49.0,49.0
NUA,0.5656565656565657,48.0,48.0
NUA,0.5757575757575758,48.0,48.0
NUA,0.5858585858585859,45.0,45.0
NUA,0.595959595959596,44.0,44.0
NUA,0.6060606060606061,42.0,42.0
NUA,0.6161616161616162,41.0,41.0
NUA,0.6262626262626263,41.0,41.0
NUA,0.6363636363636365,39.0,39.0
NUA,0.6464646464646465,37.0,37.0
NUA,0.6565656565656566,36.0,36.0
NUA,0.6666666666666667,36.0,36.0
NUA,0.6767676767676768,35.0,35.0
NUA,0.686868686868687,35.0,35.0
NUA,0.696969696969697,35.0,35.0
NUA,0.7070707070707072,35.0,35.0
NUA,0.7171717171717172,34.0,34.0
NUA,0.7272727272727273,34.0,34.0
NUA,0.7373737373737375,34.0,34.0
NUA,0.7474747474747475,32.0,32.0
NUA,0.7575757575757577,32.0,32.0
NUA,0.7676767676767677,32.0,32.0
NUA,0.7777777777777778,29.0,29.0
