Class,Recall,Precision,AP
UA,0.96,0.3356643356643357,0.7160956018367802
UA,0.96,0.3380281690140845,0.7160956018367802
UA,0.96,0.3404255319148936,0.7160956018367802
UA,0.96,0.34285714285714286,0.7160956018367802
UA,0.96,0.34532374100719426,0.7160956018367802
UA,0.96,0.34782608695652173,0.7160956018367802
UA,0.96,0.35036496350364965,0.7160956018367802
UA,0.94,0.34558823529411764,0.7160956018367802
UA,0.94,0.34814814814814815,0.7160956018367802
UA,0.94,0.35074626865671643,0.7160956018367802
UA,0.94,0.3533834586466165,0.7160956018367802
UA,0.94,0.3560606060606061,0.7160956018367802
UA,0.94,0.35877862595419846,0.7160956018367802
UA,0.94,0.36153846153846153,0.7160956018367802
UA,0.94,0.3643410852713178,0.7160956018367802
UA,0.94,0.3671875,0.7160956018367802
UA,0.94,0.3700787401574803,0.7160956018367802
UA,0.92,0.36507936507936506,0.7160956018367802
UA,0.92,0.368,0.7160956018367802
UA,0.92,0.3709677419354839,0.7160956018367802
UA,0.9,0.36585365853658536,0.7160956018367802
UA,0.9,0.36885245901639346,0.7160956018367802
UA,0.9,0.371900826446281,0.7160956018367802
UA,0.9,0.375,0.7160956018367802
UA,0.88,0.3697478991596639,0.7160956018367802
UA,0.86,0.3644067796610169,0.7160956018367802
UA,0.86,0.36752136752136755,0.7160956018367802
UA,0.86,0.3706896551724138,0.7160956018367802
UA,0.84,0.3652173913043478,0.7160956018367802
UA,0.84,0.3684210526315789,0.7160956018367802
UA,0.84,0.37168141592920356,0.7160956018367802
UA,0.84,0.375,0.7160956018367802
UA,0.84,0.3783783783783784,0.7160956018367802
UA,0.84,0.38181818181818183,0.7160956018367802
UA,0.84,0.3853211009174312,0.7160956018367802
UA,0.84,0.3888888888888889,0.7160956018367802
UA,0.84,0.3925233644859813,0.7160956018367802
UA,0.84,0.39622641509433965,0.7160956018367802
UA,0.84,0.4,0.7160956018367802
UA,0.84,0.40384615384615385,0.7160956018367802
UA,0.84,0.4077669902912621,0.7160956018367802
UA,0.84,0.4117647058823529,0.7160956018367802
UA,0.84,0.4158415841584158,0.7160956018367802
UA,0.82,0.41,0.7160956018367802
UA,0.8,0.40404040404040403,0.7160956018367802
UA,0.8,0.40816326530612246,0.7160956018367802
UA,0.8,0.41237113402061853,0.7160956018367802
UA,0.8,0.4166666666666667,0.7160956018367802
UA,0.78,0.4105263157894737,0.7160956018367802
UA,0.76,0.40425531914893614,0.7160956018367802
UA,0.76,0.40860215053763443,0.7160956018367802
UA,0.76,0.41304347826086957,0.7160956018367802
UA,0.76,0.4175824175824176,0.7160956018367802
