Class,FPR,TPR,AUC
NUA,0.03278688524590164,0.27906976744186046,0.9166031261913838
NUA,0.040983606557377046,0.27906976744186046,0.9166031261913838
NUA,0.040983606557377046,0.5232558139534884,0.9166031261913838
NUA,0.04918032786885246,0.5232558139534884,0.9166031261913838
NUA,0.04918032786885246,0.5581395348837209,0.9166031261913838
NUA,0.05737704918032787,0.5581395348837209,0.9166031261913838
NUA,0.05737704918032787,0.5813953488372093,0.9166031261913838
NUA,0.06557377049180328,0.5813953488372093,0.9166031261913838
NUA,0.06557377049180328,0.6046511627906976,0.9166031261913838
NUA,0.07377049180327869,0.6046511627906976,0.9166031261913838
NUA,0.07377049180327869,0.627906976744186,0.9166031261913838
NUA,0.08196721311475409,0.627906976744186,0.9166031261913838
NUA,0.08196721311475409,0.6395348837209303,0.9166031261913838
NUA,0.09016393442622951,0.6395348837209303,0.9166031261913838
NUA,0.09016393442622951,0.686046511627907,0.9166031261913838
NUA,0.10655737704918032,0.686046511627907,0.9166031261913838
NUA,0.10655737704918032,0.7093023255813954,0.9166031261913838
NUA,0.11475409836065574,0.7093023255813954,0.9166031261913838
NUA,0.11475409836065574,0.7325581395348837,0.9166031261913838
NUA,0.13114754098360656,0.7325581395348837,0.9166031261913838
NUA,0.13114754098360656,0.7441860465116279,0.9166031261913838
NUA,0.13934426229508196,0.7441860465116279,0.9166031261913838
NUA,0.13934426229508196,0.813953488372093,0.9166031261913838
NUA,0.1557377049180328,0.813953488372093,0.9166031261913838
NUA,0.1557377049180328,0.8488372093023255,0.9166031261913838
NUA,0.1721311475409836,0.8488372093023255,0.9166031261913838
NUA,0.1721311475409836,0.872093023255814,0.9166031261913838
NUA,0.18032786885245902,0.872093023255814,0.9166031261913838
NUA,0.18032786885245902,0.8837209302325582,0.9166031261913838
NUA,0.19672131147540983,0.8837209302325582,0.9166031261913838
NUA,0.19672131147540983,0.9069767441860465,0.9166031261913838
NUA,0.22131147540983606,0.9069767441860465,0.9166031261913838
NUA,0.22131147540983606,0.9186046511627907,0.9166031261913838
NUA,0.22950819672131148,0.9186046511627907,0.9166031261913838
