Class,Threshold,Net_Benefit
MIX,0.13131313131313133,0.24731663685152055
MIX,0.14141414141414144,0.23846153846153845
MIX,0.15151515151515152,0.22939560439560439
MIX,0.16161616161616163,0.22011121408711767
MIX,0.17171717171717174,0.21159709193245776
MIX,0.18181818181818182,0.2019230769230769
MIX,0.19191919191919193,0.1920072115384615
MIX,0.20202020202020204,0.181840311587147
MIX,0.21212121212121213,0.17141272189349108
MIX,0.22222222222222224,0.16071428571428567
MIX,0.23232323232323235,0.15118927125506068
MIX,0.24242424242424243,0.14307692307692307
MIX,0.25252525252525254,0.1333809771309771
MIX,0.26262626262626265,0.12355110642781872
MIX,0.27272727272727276,0.11899038461538458
MIX,0.2828282828282829,0.11105092091007579
MIX,0.29292929292929293,0.10714285714285718
MIX,0.30303030303030304,0.10367892976588627
MIX,0.31313131313131315,0.12259615384615383
MIX,0.32323232323232326,0.1394948335246842
MIX,0.33333333333333337,0.13701923076923075
MIX,0.3434343434343435,0.15147928994082843
MIX,0.3535353535353536,0.16811899038461536
MIX,0.36363636363636365,0.15865384615384615
MIX,0.37373737373737376,0.1280241935483871
MIX,0.38383838383838387,0.10703026481715006
MIX,0.393939393939394,0.09639423076923076
MIX,0.4040404040404041,0.09770208604954368
MIX,0.4141414141414142,0.08313992042440319
MIX,0.42424242424242425,0.08173076923076923
MIX,0.43434343434343436,0.07211538461538461
MIX,0.4444444444444445,0.0673076923076923
MIX,0.4545454545454546,0.0625
MIX,0.4646464646464647,0.04326923076923077
MIX,0.4747474747474748,0.038461538461538464
MIX,0.48484848484848486,0.038461538461538464
MIX,0.494949494949495,0.019230769230769232
MIX,0.5050505050505051,0.014423076923076924
MIX,0.5151515151515152,0.009615384615384616
MIX,0.5252525252525253,0.009615384615384616
MIX,0.5353535353535354,0.009615384615384616
MIX,0.5454545454545455,0.009615384615384616
MIX,0.5555555555555556,0.009615384615384616
MIX,0.5656565656565657,0.009615384615384616
MIX,0.5757575757575758,0.004807692307692308
MIX,0.5858585858585859,0.004807692307692308
MIX,0.595959595959596,0.004807692307692308
MIX,0.6060606060606061,0.004807692307692308
MIX,0.6161616161616162,0.004807692307692308
MIX,0.6262626262626263,0.004807692307692308
MIX,0.6363636363636365,0.004807692307692308
MIX,0.6464646464646465,0.004807692307692308
MIX,0.6565656565656566,0.0
MIX,0.6666666666666667,0.0
MIX,0.6767676767676768,0.0
MIX,0.686868686868687,0.0
MIX,0.696969696969697,0.0
MIX,0.7070707070707072,0.0
MIX,0.7171717171717172,0.0
MIX,0.7272727272727273,0.0
MIX,0.7373737373737375,0.0
MIX,0.7474747474747475,0.0
MIX,0.7575757575757577,0.0
MIX,0.7676767676767677,0.0
MIX,0.7777777777777778,0.0
MIX,0.787878787878788,0.0
MIX,0.797979797979798,0.0
MIX,0.8080808080808082,0.0
MIX,0.8181818181818182,0.0
MIX,0.8282828282828284,0.0
MIX,0.8383838383838385,0.0
MIX,0.8484848484848485,0.0
MIX,0.8585858585858587,0.0
MIX,0.8686868686868687,0.0
MIX,0.8787878787878789,0.0
MIX,0.888888888888889,0.0
MIX,0.8989898989898991,0.0
MIX,0.9090909090909092,0.0
MIX,0.9191919191919192,0.0
MIX,0.9292929292929294,0.0
MIX,0.9393939393939394,0.0
MIX,0.9494949494949496,0.0
MIX,0.9595959595959597,0.0
MIX,0.9696969696969697,0.0
MIX,0.9797979797979799,0.0
MIX,0.98989898989899,0.0
MIX,1.0,
